idx,caption_en,image_path
9_aug_2,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_2.jpg
9_aug_3,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_3.jpg
9_aug_4,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_4.jpg
9_aug_5,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_5.jpg
9_aug_6,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_6.jpg
9_aug_7,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_7.jpg
9_aug_8,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_8.jpg
9_aug_9,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_9.jpg
9_aug_10,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_10.jpg
10_aug_1,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_1.jpg
10_aug_2,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_2.jpg
10_aug_3,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_3.jpg
10_aug_4,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_4.jpg
10_aug_5,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_5.jpg
10_aug_6,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_6.jpg
10_aug_7,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_7.jpg
10_aug_8,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_8.jpg
10_aug_9,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_9.jpg
10_aug_10,Puppy emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\10_aug_10.jpg
11_aug_1,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_1.jpg
11_aug_2,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_2.jpg
11_aug_3,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_3.jpg
11_aug_4,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_4.jpg
11_aug_5,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_5.jpg
11_aug_6,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_6.jpg
11_aug_7,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_7.jpg
11_aug_8,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_8.jpg
11_aug_9,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_9.jpg
11_aug_10,"Black, white cat's face looking at the front",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\11_aug_10.jpg
12_aug_1,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_1.jpg
12_aug_2,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_2.jpg
12_aug_3,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_3.jpg
12_aug_4,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_4.jpg
12_aug_5,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_5.jpg
12_aug_6,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_6.jpg
12_aug_7,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_7.jpg
12_aug_8,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_8.jpg
12_aug_9,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_9.jpg
12_aug_10,"Black color that looks sharp, brown striped cat face photo",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\12_aug_10.jpg
13_aug_1,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_1.jpg
13_aug_2,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_2.jpg
13_aug_3,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_3.jpg
13_aug_4,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_4.jpg
13_aug_5,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_5.jpg
13_aug_6,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_6.jpg
13_aug_7,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_7.jpg
13_aug_8,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_8.jpg
13_aug_9,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_9.jpg
13_aug_10,An orange cat photo sitting under the chair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\13_aug_10.jpg
14_aug_1,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_1.jpg
14_aug_2,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_2.jpg
14_aug_3,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_3.jpg
14_aug_4,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_4.jpg
14_aug_5,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_5.jpg
14_aug_6,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_6.jpg
14_aug_7,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_7.jpg
14_aug_8,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_8.jpg
14_aug_9,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_9.jpg
14_aug_10,A picture of a black cat walking on the road,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\14_aug_10.jpg
15_aug_1,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_1.jpg
15_aug_2,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_2.jpg
15_aug_3,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_3.jpg
15_aug_4,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_4.jpg
15_aug_5,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_5.jpg
15_aug_6,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_6.jpg
15_aug_7,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_7.jpg
15_aug_8,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_8.jpg
15_aug_9,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_9.jpg
15_aug_10,Ocher,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\15_aug_10.jpg
16_aug_1,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_1.jpg
16_aug_2,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_2.jpg
16_aug_3,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_3.jpg
16_aug_4,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_4.jpg
16_aug_5,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_5.jpg
16_aug_6,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_6.jpg
16_aug_7,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_7.jpg
16_aug_8,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_8.jpg
16_aug_9,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_9.jpg
16_aug_10,Black cat character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\16_aug_10.jpg
17_aug_1,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_1.jpg
17_aug_2,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_2.jpg
17_aug_3,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_3.jpg
17_aug_4,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_4.jpg
17_aug_5,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_5.jpg
17_aug_6,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_6.jpg
17_aug_7,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_7.jpg
17_aug_8,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_8.jpg
17_aug_9,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_9.jpg
17_aug_10,Brown striped cat character swimming in the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\17_aug_10.jpg
18_aug_1,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_1.jpg
18_aug_2,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_2.jpg
18_aug_3,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_3.jpg
18_aug_4,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_4.jpg
18_aug_5,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_5.jpg
18_aug_6,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_6.jpg
18_aug_7,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_7.jpg
18_aug_8,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_8.jpg
18_aug_9,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_9.jpg
18_aug_10,Cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\18_aug_10.jpg
19_aug_1,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_1.jpg
19_aug_2,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_2.jpg
19_aug_3,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_3.jpg
19_aug_4,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_4.jpg
19_aug_5,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_5.jpg
19_aug_6,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_6.jpg
19_aug_7,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_7.jpg
19_aug_8,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_8.jpg
19_aug_9,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_9.jpg
19_aug_10,Black cat emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\19_aug_10.jpg
20_aug_1,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_1.jpg
20_aug_2,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_2.jpg
20_aug_3,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_3.jpg
20_aug_4,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_4.jpg
20_aug_5,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_5.jpg
20_aug_6,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_6.jpg
20_aug_7,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_7.jpg
20_aug_8,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_8.jpg
20_aug_9,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_9.jpg
20_aug_10,Black cat face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\20_aug_10.jpg
21_aug_1,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_1.jpg
21_aug_2,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_2.jpg
21_aug_3,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_3.jpg
21_aug_4,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_4.jpg
21_aug_5,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_5.jpg
21_aug_6,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_6.jpg
21_aug_7,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_7.jpg
21_aug_8,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_8.jpg
21_aug_9,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_9.jpg
21_aug_10,"Blue Tea, who is smiling with arms folded",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\21_aug_10.jpg
22_aug_1,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_1.jpg
22_aug_2,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_2.jpg
22_aug_3,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_3.jpg
22_aug_4,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_4.jpg
22_aug_5,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_5.jpg
22_aug_6,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_6.jpg
22_aug_7,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_7.jpg
22_aug_8,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_8.jpg
22_aug_9,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_9.jpg
22_aug_10,A man standing in jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\22_aug_10.jpg
23_aug_1,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_1.jpg
23_aug_2,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_2.jpg
23_aug_3,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_3.jpg
23_aug_4,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_4.jpg
23_aug_5,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_5.jpg
23_aug_6,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_6.jpg
23_aug_7,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_7.jpg
23_aug_8,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_8.jpg
23_aug_9,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_9.jpg
23_aug_10,A man with his arms on the railing and a photo against the sea and island in the background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\23_aug_10.jpg
24_aug_1,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_1.jpg
24_aug_2,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_2.jpg
24_aug_3,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_3.jpg
24_aug_4,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_4.jpg
24_aug_5,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_5.jpg
24_aug_6,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_6.jpg
24_aug_7,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_7.jpg
24_aug_8,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_8.jpg
24_aug_9,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_9.jpg
24_aug_10,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\24_aug_10.jpg
25_aug_1,A male character with a beard,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\25_aug_1.jpg
25_aug_2,A male character with a beard,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\25_aug_2.jpg
